,"tunnel support
 pattern","face
No.","upper 
/
bottom","area
[m2]","progression
[m]","excavation 
volume
[m3]",date,"wg3,piece","wg3,kg","wg25,piece","wg25,kg","wg,kg","anfo,kg","f06,piece","fconnect,piece","eldet,piece",pyro1,pyro2,pyro3,pyro4,pyro5,pyro6,pyro7,pyro8,pyro9,pyro10,pyro12,pyro14,pyro16,pyro17,pyro18,pyro19,pyro20,pyro21,total,kg/m3,faceN
0,C_,124,upper,30.681,1.2,36.8,2020.9.18,63.0,6.3,0,0.0,0.0,40.0,5.0,5.0,1.0,0.0,0.0,2.0,2.0,6.0,13.0,11.0,21.0,6.0,2.0,0,0,0,0,0,0,0,0,63.0,1.26,124
1,C_,125,upper,30.681,1.2,36.8,2020.9.18,83.0,8.3,0,0.0,0.0,59.0,7.0,7.0,1.0,2.0,5.0,8.0,7.0,6.0,11.0,12.0,24.0,6.0,2.0,0,0,0,0,0,0,0,0,83.0,1.83,125
2,D_-L,99-100,bottom,33.262,2.0,66.5,2020.9.23,22.0,2.2,0,0.0,11.7,20.0,3.0,4.0,1.0,0.0,0.0,0.0,7.0,10.0,3.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,22.0,0.51,100
3,D_-L,101-102,bottom,33.262,2.0,66.5,2020.9.23,23.0,2.3,0,0.0,10.0,31.0,4.0,5.0,2.0,0.0,0.0,0.0,7.0,4.0,5.0,5.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,23.0,0.65,102
4,D_-L,103-104,bottom,33.262,1.0,33.3,2020.9.23,27.0,2.7,0,0.0,9.5,39.0,4.0,4.0,1.0,0.0,0.0,0.0,7.0,5.0,8.0,5.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,27.0,1.54,104
5,D_-L,103-104,bottom,33.262,1.0,33.3,2020.9.23,5.0,0.5,0,0.0,0.2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,5.0,0.02,104
6,D_-L,105-106,bottom,33.262,2.0,66.5,2020.9.23,32.0,3.2,0,0.0,12.2,11.0,6.0,6.0,1.0,0.0,0.0,0.0,8.0,9.0,7.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,32.0,0.4,106
7,D_-L,107-108,bottom,33.262,2.0,66.5,2020.9.23,25.0,2.5,0,0.0,8.6,11.0,3.0,3.0,2.0,0.0,0.0,0.0,6.0,3.0,8.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,25.0,0.33,108
8,D_-L,109-110,bottom,33.262,2.0,66.5,2020.9.23,27.0,2.7,0,0.0,10.0,20.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,7.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,27.0,0.49,110
9,D_-L,111-112,bottom,33.262,2.0,66.5,2020.9.24,27.0,2.7,0,0.0,9.7,37.0,4.0,3.0,1.0,0.0,0.0,0.0,7.0,5.0,7.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,27.0,0.74,112
10,D_-L,113-114,bottom,33.262,2.0,66.5,2020.9.24,28.0,2.8,0,0.0,17.6,7.5,6.0,9.0,1.0,0.0,0.0,0.0,7.0,5.0,8.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,28.0,0.42,114
11,D_-L,115-116,bottom,33.262,2.0,66.5,2020.9.24,31.0,3.1,0,0.0,7.7,49.5,3.0,3.0,1.0,0.0,0.0,0.0,5.0,10.0,8.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,31.0,0.91,116
12,D_-L,115-116,bottom,33.262,2.0,66.5,2020.9.24,2.0,0.2,0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,0.05,116
